COUNTRY,COURSE TYPE,COURSE (SPECIALIZATION),FEES
ITALY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Digital Marketing,1311916.5
ITALY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in ENTREPRENEURSHIP AND LEADERSHIP,121601.09
ITALY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Environment,121601.09
ITALY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Fashion Management,1890969.3
ITALY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Luxury And Brand,1890969.3
ITALY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Sports,1311916.5
ITALY,M.ENG,M.ENG in Mechanical,904770
ITALY,M.ENG,M.ENG in Electrical,234878.29
ITALY,M.ENG,M.ENG in Architechture,904770
ITALY,M.ENG,"M.ENG in 
Civil",264645.23
ITALY,M.ENG,M.ENG in IT & Networking,271431
ITALY,M.ENG,M.ENG in Chemical,904770
ITALY,M.ENG,M.ENG in Computer Science Engineering,904770
ITALY,M.ENG,M.ENG in Aerospace Engineering,904770
ITALY,M.ENG,M.ENG in Biomedical,904770
ITALY,M.ENG,M.ENG in Electrical,904770
ITALY,M.ENG,M.ENG in Energy & Environment,542040
ITALY,M.ENG,M.ENG in Food Technology,343292
ITALY,M.ENG,M.ENG in Industrial,235064.68
ITALY,M.ENG,M.ENG in Materials,406530
ITALY,M.ENG,M.ENG in Mechatronics,442666
ITALY,M.ENG,M.ENG in Nanotechnology,352326
ITALY,M.ENG,M.ENG in Nuclear,316190
ITALY,M.ENG,M.ENG in Production,406530
ITALY,M.Sc,M.Sc in Physics,406530
ITALY,M.Sc,M.Sc in Chemistry,271020
ITALY,M.Sc,M.Sc in Biology,252952
ITALY,M.Sc,M.Sc in Environment,623346
ITALY,M.Sc,M.Sc in Mathematics,442666
BELGIUM,MBA,MBA in Business Administartion,3524922.18
BELGIUM,MBA,MBA in Supply Chain And Logistic,1170605.01
BELGIUM,MBA,MBA in Executive MBA,3524922.18
BELGIUM,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Marketing,1355913.14
BELGIUM,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Management,1170605.01
BELGIUM,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in General Management,3524922.18
BELGIUM,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Global Management,1170605.01
BELGIUM,MASTERS OF MANAGEMENT,"MASTERS OF MANAGEMENT in 
Finance",1170605.01
BELGIUM,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in International Business,1373991.98
BELGIUM,MASTERS OF MANAGEMENT,"MASTERS OF MANAGEMENT in 
Information Technology",158189.87
BELGIUM,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Business Administartion,1310716.03
BELGIUM,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Economics College,3663677.3
BELGIUM,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Entreprenuer and Leadership,1309930
BELGIUM,M.ENG,M.ENG in Mechanical,504097.2
BELGIUM,M.ENG,M.ENG in Electrical,594437.2
BELGIUM,M.ENG,M.ENG in Architecture,316190
BELGIUM,M.ENG,M.ENG in Civil,130993
BELGIUM,M.ENG,M.ENG in Chemical,542040
BELGIUM,M.ENG,M.ENG in Agriculture,130993
BELGIUM,M.ENG,M.ENG in Biology,311673
BELGIUM,M.ENG,M.ENG in Biomedical,542040
BELGIUM,M.ENG,M.ENG in Materials,542040
BELGIUM,M.ENG,M.ENG in Nuclear,80402.6
BELGIUM,M.Sc,M.Sc in Physics,81848.04
BELGIUM,M.Sc,M.Sc in Chemistry,172188.04
BELGIUM,M.Sc,M.Sc in Biology,130993
BELGIUM,M.Sc,M.Sc in Psychology ,130993
BELGIUM,M.Sc,M.Sc in Environment,90340
BELGIUM,M.Sc,M.Sc in Data Analysis,102084.2
